Bandeja,codigo,ubicación,medico
BANDEJA DE ARTROSCOPIA DE HOMBRO ELITE,1137.0,,SALOMON DAYAN HANONO
BANDEJA DE ARTROSCOPIA DE HOMBRO 550,264766.0,,SALOMON DAYAN HANONO
 	BANDEJA DE ARTROSCOPIA DE CADERA,2249.0,,SALOMON DAYAN HANONO
BANDEJA DE PROTECTORES C/ DRILL # MCG3100,1334.0,,SALOMON DAYAN HANONO
BANDEJA DE CERCLAJE PERCUTANEO,1355.0,,SALOMON DAYAN HANONO
 	BANDEJA DE REPARO MENISCAL #551,1420.0,,SALOMON DAYAN HANONO
 	BANDEJA DE RESCATES PARA REEMPLAZOS,1425.0,,SALOMON DAYAN HANONO
 	BANDEJA DE MICROFRACTURAS # 571,1603.0,,SALOMON DAYAN HANONO
BANDEJA DE PINZAS DE REDUCCION COLINEAL,1806.0,,SALOMON DAYAN HANONO
BANDEJA DE PINZA DE REDUCCION CON SISTEMA DE FIJACION INTEGRADO,1316.0,,SALOMON DAYAN HANONO
BANDEJA DE PINZAS DE RESECCION MENISCAL #552 ,1341.0,,SALOMON DAYAN HANONO
BANDEJA DE LIGAMENTO CRUZADO ANTERIOR QUAD # 569,1602.0,,SALOMON DAYAN HANONO
BANDEJA DE EXTRACCION ESPECIALIZADA DE TORNILLO,1741.0,,SALOMON DAYAN HANONO
BANDEJA DE PREPARACION DE LIGAMENTO CRUZADO,277937.0,,SALOMON DAYAN HANONO
 	BANDEJA DE REPARACION MENISCAL,267499.0,,SALOMON DAYAN HANONO
DRILL Y SIERRA SERIE 7 S.D.,287557.0,,SALOMON DAYAN HANONO
 	BANDEJA MAXILOFACIAL,1944.0,,JONATTAN ARTURO CHANIS THORP
BANDEJA PARA REVASCULARIZACION CORONARIA Y PINZA DE AORTA,2068.0,,CARDIOESPECIALISTAS MÉDICOS
 	BANDEJA PARA REEMPLAZO VALVULAR MINIMA,2069.0,,CARDIOESPECIALISTAS MÉDICOS
BANDEJA PARA MICROCIRUGIA ,2070.0,,CARDIOESPECIALISTAS MÉDICOS
BANDEJA DE MINIMA INVASION,2071.0,,CARDIOESPECIALISTAS MÉDICOS
 	BANDEJA DE EXTRACCION DE PROTESIS DE CADERA,2490.0,,DP
 	BANDEJA DE MAXILOFACIAL,898.0,,DORA ELVIRA ROQUEBERT ARIAS
 	BANDEJA DE ORBITA MAXILOFACIAL,1834.0,,DORA ELVIRA ROQUEBERT ARIAS
SET DE MAXILOFACIAL,,,DORA ELVIRA ROQUEBERT ARIAS
BANDEJA QUIRURGICA + MICRODRILL ELECTRICO MAXILOFACIAL,949.0,,DORA ELVIRA ROQUEBERT ARIAS
MICRODILL ELECTRICO,964.0,,DORA ELVIRA ROQUEBERT ARIAS
 	BANDEJA NEUROQUIRURGICA / LAMINECTOMIA,2075.0,,EIMIR ARIEL PEREZ ARJONA
BANDEJA DE KERRINSON,2308.0,,EIMIR ARIEL PEREZ ARJONA
BANDEJA DE RETRACTORES Y PINZAS BIPOLARES,2412.0,,EIMIR ARIEL PEREZ ARJONA
