Bandeja,codigo ,ubicación ,proveedor externo
BANDEJA DE DISTRACTOR FEMORAL  Y TIBIAL (PALMSA),1175,,PALMSA
BANDEJA DE EXTRACCION DE CLAVOS (PALMSA),2247,,PALMSA
BANDEJA DE INSTRUMENTAL DE MANO ACV (PALMSA),2058,,PALMSA
BANDEJA DE MICRO SIERRA (PALMSA),2116,,PALMSA
BANDEJA DE ORTOPEDIA MICROCIRUGIA (PALMSA),2115,,PALMSA
BANDEJA DE PIE Y TOBILLO (PALMSA),1149,,PALMSA
BANDEJA DE PINZA ARTROSCOPIA (PALMSA),2473,,PALMSA
BANDEJA DE PINZAS DE REDUCCION COLLINEAR (PALMSA),1559,,PALMSA
BANDEJA DE PINZAS DE REDUCCION DE FRACTURAS PERIARTICULARES (PALMSA),1056,,PALMSA
BANDEJA DE REDUCCION DE FRACTURA DE ACETABULO Y PELVIS (PALMSA),1057,,PALMSA
BANDEJA DE REDUCCION DE TIBIA DPK (PALMSA),2489,,PALMSA
BANDEJA DE RETIRO DE MATERIAL OSTEOSINTESIS PALMSA,2283,,PALMSA
BANDEJA DE RETRACTOR TIBIAL (PALMSA),1147,,PALMSA
BANDEJA DE SEPARADORES Y RETRACTORES ESPECIFICOS PARA CIRUGIA DE PIE Y TOBILLO(PALMSA),2044,,PALMSA
BANDEJA DE SISTEMA PARA OBTENCION DE INJERTOS OSEOS MG (PALMSA),2488,,PALMSA
BANDEJA DE PINZAS DE REDUCCION DE CLAVICULA,2477,,PALMSA
BANDEJA LIGAMENTO CRUZADO T-035 (PALMSA),2492,,PALMSA
 	BANDEJA DE TRAUMA ACETABULO PELVIS ,264903,,PALMSA
EQUIPO OSADA -MICRO DRILL HUESO (PALMSA),276823,,PALMSA
BANDEJA DE ARTROSCOPIA DE CADERA (PTY),1912,,PTY
BANDEJA DE CLAVO DE TIBIA (PTY),2254,,PTY
BANDEJA DE CLAVOS ANTERGRADOS PTY,2095,,PTY
BANDEJA DE ESPACIADORES DE RODILLA (PTY),2313,,PTY
BANDEJA DE FIJADOR DE MUÑECA (PTY),2446,,PTY
BANDEJA DE HOMBRO (PTY),91,,PTY
BANDEJA DE HÚMERO PROXIMAL (PTY),1947,,PTY
BANDEJA DE MENISCO (PTY),137,,PTY
BANDEJA DE MINIFRAGMENTOS (PTY&AK),2305,,PTY
BANDEJA DE OSTEOTOMOS FINOS  (PTY),2314,,PTY
BANDEJA DE PARCUS ACL (PTY),980,,PTY
