HOSPITAL PUNTA PACIFICA,Column6,Column4
Bandeja Vascular Pediátrica                  ,38,4.1.1
Bandeja de By-Pass Cardiovascular  A y B,39,4.2.2
Bandeja de Microcirrugia  de Cardio,77,4.2.2
Bandeja Microcirugia Coronaria,78,4.2.2
Bandeja de Safenectomia,95,4.1.1
Bandeja de Separadores de Tórax,105,4.1.1
Bandeja de Sierra de Esternon  neumatica,376,4.1.1
Bandeja de Separadores de Cardio,1180,4.2.2
Bandeja de Venoablación,2594,4.1.2
Bandeja Complemento Vascular,2686,4.2.2
Bandeja de Sierra de Esternon de Souter DBC 470  esternom,2695,4.2.1
Bandeja de Sierra de Esternon de Souter SN 24/312635 Esternon,2696,4.2.1
Bandeja de Separador Mitral,2703,4.1.2
Sierra de Reoperado  neumatica,2704,4.1.1
Bandeja de hooks para flebectomia derecha,2851,4.1.2
Bandeja de hooks para flebectomia izquierda,2852,4.1.2
Bandeja de Cirugía Pediátrica      ,44,1.4.3
Bandeja Cirugía Menor 1                ,47,1.4.2
Bandeja Cirugía Menor 2,47,1.4.2
Bandeja Cirugía Menor 3,47,1.4.2
Bandeja Cirugía Menor 4,47,1.4.2
Bandeja Cirugía Menor 5,47,1.4.2
Bandeja Hemorroidectomia 1                   ,65,1.4.3
Bandeja Hemorroidectomia 2,65,1.4.3
Bandeja Incisión y Drenaje 1                    ,67,1.4.4
Bandeja Incisión y Drenaje 2,67,1.4.4
Bandeja Instrumentos Largos                ,69,1.5.4
Bandeja Laparotomía 1                            ,72,1.5.2
Bandeja Laparotomía 2,72,1.5.2
Bandeja Separadores de Hígado 1            ,97,1.5.2
Bandeja Separadores de Hígado 2,97,1.5.2
Bandeja Separador Book Walter          ,98,1.4.2
Sistema de Retraccion Thompsom (3 Bandejas),1372,1.5.2
Bandeja de Hepatectomia,2401,1.5.3
Bandeja de Hepatectomia Banco,2402,1.5.3
Bandeja de Separadores Abdominales    ,2681,1.4.4
Bandeja Complemento de Vesícula       ,2685,1.5.4
Bandeja de Cirugía Plástica 1                  ,51,4.1.2
Bandeja de Cirugía Plástica 2,51,4.1.2
Bandeja de Cirugia plástica de Abdomen ,52,4.1.3
Bandeja de Set de Infiltración y Liposuccion,68,4.1.2
Bandeja de Dermatomo                   ,227,4.1.3
Bandeja de Lipovaser con pieza de mano                                             ,263,4.1.3
Bandeja de Expansor de Piel          ,267,4.1.3
Bandeja de Blefaroplastia                   ,879,4.1.3
Bandeja de Cánulas Manuales ,2685,4.1.2
Bandeja De Cesarea 1,40,2.2.2
Bandeja De Cesarea 2,40,2.2.2
Bandeja De Cesarea 3,40,2.2.2
Bandeja De Cesarea 4,40,2.2.2
Bandeja De Cesarea 5,40,2.2.2
Bandeja de Conizacion,54,2.2.3
Bandeja De DyC 1 ,58,2.2.3
Bandeja De DyC 2,58,2.2.3
Bandeja De DyC 3,58,2.2.3
Bandeja de Complemento de Histerectomia 1,66,2.2.3
Bandeja de Complemento de Histerectomia 2,66,2.2.3
Bandeja de Complemento de Histerectomia 3,66,2.2.3
Bandeja de Plastia Tubarica,90,2.2.4
Bandeja de Histeroscopia Bipolar Bettochi 1,976,2.3.3
Bandeja de Histeroscopia Bipolar Bettochi 2,976,2.3.3
Bandeja de Histeroscopia Bipolar Bettochi 3,976,2.3.3
Bandeja de Sistema de Morcelador,1002,2.3.3
Bandeja de Sistema de Morcelador N0UVAG,1002,2.3.3
Bandeja de Histeroscopia Bipolar 1,1188,2.3.3
Bandeja de Histeroscopia Bipolar 2,1188,2.2.3
Bandeja de Histeroscopia Bipolar 3,1188,2.2.3
Bandeja de Histerectomia Vaginal Laparoscopica 1,1711,2.2.2
Bandeja de Histerectomia Vaginal Laparoscopica 2,1711,2.2.2
Bandeja de Histeroscopia Bigatti,2633,2.3.3
Bandeja de Pinzas  laparoscopica 3mm  ,88,2.3.4
Bandeja de Pinzas laparoscopias reusables 1  ,111,2.3.2
Bandeja de Pinzas laparoscopias reusables 2,111,2.3.2
Bandeja de Pinzas laparoscopias reusables 3,111,2.3.2
Bandeja de Pinzas laparoscopias reusables 4,111,2.3.2
Bandeja de Pinzas laparoscopias reusables 5,111,2.3.2
Bandeja de Pinzas  laparoscopica bariatricas  ,1013,2.3.2
Bandeja de Trocares Reusables 1,1249,2.3.4
Bandeja de Trocares Reusables 2,1249,2.3.4
Bandeja  De Sonisision,2682,2.4.1
Bandeja de Craneotomia                    ,55,3.3.2
Bandeja de Pinzas y separadores de laminectomia ,71,3.3.2
Bandeja de Microcirugia  de Neuro    ,76,3.3.3
Bandeja de Separadores Leyla +sostenedor,102,3.3.4
Bandeja de Kerrison  y Brunning                       ,155,3.3.2
Dril Midas Rex 1,1320,3.2.3
Dril Midas Rex 2,1320,3.2.3
Bandeja de Bayonetas Bipolares hpp ,1373,3.3.4
Bandeja de Separadores Cervicales hpp,1374,3.3.3
Bandeja de Distractor Cervical Caspar,1394,3.2.4
Bandeja de Separadores Lumbares hpp,1395,3.3.3
Bandeja de Hipófisis                        ,1533,3.3.4
Bandeja de Mini Nefroscopio percutaneo,2595,3.3.4
Bandeja Accesorios de Microscopio QEVO 1,2683,
Bandeja Accesorios de Microscopio QEVO 2,2683,
"Bandeja de Brazo articulado I, GPS HPP 9143.2516",2684,1.2.3
"Bandeja de Disco Lateral Prep, GPS HPP 9143.2518",2686,1.2.2
"Bandeja de Disco Posterior Prep, GPS HPP 9143.2519",2687,1.2.2
"Bandeja de Ellipse & Quartex, GPS HPP 9143.2901",2688,1.2.2
"Bandeja de Navegación I GPS, HPP 9143.2501",2689,1.2.3
"Bandeja de Navegación II GPS, HPP 9143.2517",2690,1.2.3
"Bandeja de Rise & Caliber, GPS HPP 9143.2522  ",2691,1.2.3
"Bandeja de Rise-L & ELSA, GPS HPP 9143.2520",2692,1.2.3
"Bandeja de Set Optimizado CREO, GPS HPP 2018703",2694,1.2.3
"Bandeja de SI-LOK, GPS HPP 9143.2801",2697,1.2.3
"Bandeja Drill de Batería GLOBUS, GPS HPP 1",2701,1.2.2
"Bandeja Drill de Batería GLOBUS, GPS HPP 2",2701,1.2.2
Bandeja Efecto Final GPS 1,2702,1.2.2
Bandeja Efecto Final GPS 2,2702,1.2.2
Bandeja de Amputación                     ,28,3.1.4
Bandeja de Artroscopia 1                    ,30,3.1.3
Bandeja de Artroscopia 2,30,3.1.3
Bandeja de Pinzas para Artroscopia       ,30,3.1.3
Bandeja de Bloqueado Tibia y Fémur 1                               ,31,3.3.1
Bandeja de Bloqueado Tibia y Fémur 2,31,3.3.1
Bandeja de Bloqueado Tibia y Fémur 3,31,3.3.1
Bandeja de Instrumentos Para D. H. S.  ,59,3.2.2
Bandeja de Instrumentos Básicos A. O.  Grandes Fragmentos,82,3.3.1
Bandeja de Ortopedia Mayor        ,83,3.1.2
Bandeja de Ortopedia Menor 1,85,3.1.2
Bandeja de Ortopedia Menor 2,85,3.1.2
Bandeja de Pequeños Fragmentos  ,87,3.2.2
Bandeja de Tornillos Canulados perforantes 4.5mm y 6.5mm,106,3.3.1
Bandeja Túnel Carpal 1                          ,108,3.1.2
Bandeja Túnel Carpal 2,108,3.1.2
Bandeja  de Kirshner ,120,3.1.4
Bandeja de Dril de Batería STRYKER,232,3.2.3
Bandeja de Micro sierra lápiz oscilante y reciprocante Stryker Ref. ,342,3.2.3
Shaver Stryker ,422,3.2.3
Bandeja de separador Shanley,1342,3.1.4
Bandeja de Bayonetas Bipolares hpp 1,1373,3.1.1
Bandeja de Dril electrico STRYKER,1414,3.2.3
Bandeja Drill para pequeñas articulaciones,1725,3.2.2
Bandeja de Drill de Bateria de Souther 1 ,2592,3.2.3
Bandeja de Drill de Bateria de Souther 2,2592,3.2.3
Bandeja de Placas y Tornillos D. H. S.   ,2678,3.3.1
Bandeja de Tornillos Canulados 4.5 mm,2698,3.3.1
Bandeja de Tornillos Canulados de 4.5 y Esponjosos de 6.5mm            ,2699,3.3.1
Bandeja de Tornillos Canulados Largos 6.5mm ,2700,3.3.1
Bandeja de Amígdala   Adenoides 1,27,2.4.3
Bandeja de Amígdala   Adenoides 2,27,2.4.3
Bandeja de Broncoscipia Pediatrica,32,2.4.4
Bandeja de Microcirugía Laríngea         ,79,2.4.2
Bandeja de Miringotomía                        ,80,2.4.3
Bandeja de Septumplastia ,93,2.4.2
Bandeja de Senos Paranasales                  ,96,2.4.2
Bandeja de Tiroides                                 ,104,1.4.3
Bandeja de Traqueotomía 1                         ,107,2.4.3
Bandeja de Traqueotomía 2,107,2.4.3
Bandeja de  Oftalmología (Chalazion)                                  ,122,2.4.4
Bandeja de placas Walter Lorenz,151,2.4.1
Micro Dril Hall   Surgairtome  Ref. 5058-01,309,2.4.1
Bandeja de Fractura Nasal                        ,1141,2.4.4
Bandeja de Set de Miringotomia,1508,2.4.3
Bandeja de Instrumentos Cortantes de Senos Maxilares                                       ,1532,2.4.2
Bandeja de Microdebriadador M5,1862,2.4.1
Bandeja de Separador Digman,crear,2.4.4
Dilatadores Uretrales (Van Buren) 1,53,2.1.1
Dilatadores Uretrales (Van Buren) 2,53,2.1.1
Bandeja de Alambre                ,116,2.1.3
Bandeja de Calcutrip,244,2.1.4
Bandeja de Lito Clase para litotricia,292,2.1.4
Bandeja de sistema Turis,294,2.1.4
Bandeja de Nefroscopio percutaneo,357,2.1.3
Bandeja de Ureterotomo,398,2.1.4
Bandeja de Calcuson Ultrasónico,1540,2.1.4
Bandeja de  Calcusplit,1541,2.1.4
Bandeja de Lamiday,1931,2.1.3
Dilatadores Uretrales Pediatricos (Benique),2675,2.1.1
Dilatadores Uretrales Femeninos (Benique),2676,2.1.1
Bandeja de cirugia urologica menor 1 ,150,2.1.4
Bandeja de cirugia urologica menor 2,150,2.1.4
Bandeja de cirugia urologica menor 3,150,2.1.4
Set de Rectosigmoidoscopio,367,1.4.2
