Instrumento,codigo,ubicación,medico,Column5
Porta esponja,,,Dr. Zebede,
Kelly recta,,,Dr. Zebede,
Rines,,,Dr. Zebede,
Kerrison,,,Dr. Zebede,
Pinza de biopsia,,,Dr. Zebede,
Espéculo chico,,,Dr. Zebede,
Pesario,,,Dr. Zebede,
Tijera mayo,,,Dr. Pedro Ponce,Gasas 4x4
Espéculo,,,Dr. Pedro Ponce,
Tenáculo,,,Dr. Pedro Ponce,
Pinza de retiro de DIU,,,Dr. Pedro Ponce,
Dilatadores,,,Dr. Pedro Ponce,
Cuchilla,,,Dr. Salomon Dayan,Gasas 4x4
Puntal,,,Dr. Salomon Dayan,Gasas 2x2
Tijera,,,Dr. Salomon Dayan,
Escudo,,,Dr. Salomon Dayan,
Pinzas,,,Dra. Ortiz,
Trocares,,,Dr. Arosemena,
Espéculo,,,Dr. Arosemena,
Tenáculo,,,Dr. Arosemena,
Histerómetro,,,Dr. Arosemena,
Pinza bozeman,,,Dr. Arosemena,
Porta esponja,,,Dr. Arosemena,
Bandejas de acero,,,Dr. Arosemena,
Metzenbaum largo,,,Dr. Arosemena,
Metzenbaum corta,,,Dr. Arosemena,
Adsson,,,Dr. Arosemena,
Tissue,,,Dr. Arosemena,
Tijera mayo curva,,,Dr. Arosemena,
Hemostatica curva,,,Dr. Arosemena,
Ameu,,,Dr. Arosemena,
Tijera Stivens,,,Dr. Arosemena,
Tissue con diente,,,Clínica Urológica,
Tijera,,,Clínica Urológica,
Pinza hemostática,,,Clínica Urológica,
Pinza punta plana,,,Clínica Urológica,
Dilatadores,,,Clínica Urológica,
Adson con diente,,,Clínica Urológica,
Tijera de vasectomía,,,Clínica Urológica,
Saca grapa,,,Clínica Urológica,
Pinzas de vasectomía,,,Clínica Urológica,
Bandeja de instrumental,,,Dr. Ponce Carrizo,
