Column3,Column4,Column5
AGUJA DE PUNCION,2672.0,2.3.1
ALICATE,,3.1.1
AMIGDALOTOMO RECTO,,
BAJA NUDO LAPAROSCOPICO,2705.0,2.2.1
BAYONETA CON DIENTE,,
BAYONETA OLEGRA,,
BISTURI ESTERNAL,,
BROCAS DE TREPANO MANUAL,,
BULLDOG CLAMP,1187.0,3.4.3
CABLE BIPOLAR,175.0,1.5.1
CABLE BIPOLAR ROBI,,
CABLE DE ELECTROCAUTERIO DE COAGULACION,766.0,2.1.1
CABLE MONOPOLAR,2707.0,1.5.1
CANULA ,,
CISTOSCOPIO RIGIDO LASER Nº 22,217.0,3.4.0
CISTOSCOPIO RIGIDO Nº 17,215.0,3.4.0
CISTOSCOPIO RIGIDO Nº 22,2706.0,3.4.0
CISTOSCOPIO RIGIDO Nº 25,2708.0,3.4.0
CLAMP TOWEL,,
CLAMP VASCULAR PEDIATRICO,,
CUCHILLA,,3.1.1
CURETA DE HUESOS,2709.0,3.1.1
CURETA NOVA,2710.0,2.2.1
CURETAS UTERINAS,2711.0,2.2.1
DESFIBRILADORES INTERNOS,,3.2.1
DESPERIOSTIZADOR,2712.0,3.1.1
DESTORNILLADOR DE MADERA HEXAGONAL,1872.0,3.1.1
DILATADOR GREENWAL,2713.0,2.1.1
DILATADORES ANALES,2714.0,1.5.1
DILATADORES HEGAR,2715.0,2.2.1
DILATADORES LATERALES,2717.0,
DISECTOR FREER,,1.4.1
DISECTOR SMITHWICK,,
DRILLES MANUALES,,3.1.1
ELEVADOR FREER,,
ELEVADOR MATSON,,
ENDARTEROTOMO,,
ENDEREZADOR DE NARIZ,,
ESCALERILLA,2718.0,3.2.1
ESPECULO ANAL,2719.0,1.5.1
ESPÉCULO ANAL 3 VALVAS,,
ESPECULO NASAL,2720.0,2.4.1
ESPECULOS REVESTIDOS,2721.0,2.2.1
ESPEJOS LARINGEOS,2722.0,2.4.1
EVACUADOR DE HELLIX,2723.0,
FIBRA PARA FUENTE DE LUZ BIOART,,1.5.1
FIBRA PARA FUENTE DE LUZ STORZ,2725.0,1.5.1
FIBRA DE LUZ PARA FUENTE DE  VISIONSENSE,2724.0,
FLEVOEXTRACTOR,2726.0,3.2.1
FORZE L,,
FORZE R,,
GANCHITO DOBLE ROMMO,,
GANCHITOS DE PIEL DOBLE,,1.4.1
GANCHITOS DE PIEL ROMO,,1.4.1
GANCHITOS DE PIEL ROMO DOBLE,,
GANCHITOS DE PIEL SENCILLOS,,1.4.1
GANCHITOS DE TRAQUEA,,
GANCHO DE HUESO,,3.1.1
GANCHO DE HUESO,,
GANCHO LAPAROSCOPICO DE 5 MM,2727.0,2.3.1
GANHITO DOBLE,,
HISTEROMETRO,2728.0,2.2.1
JARRAS DE MEDIR,2729.0,1.1.1
JERINGUILLA TOOMEY 50CC,1810.0,2.1.1
LIGADOR DE HEMORRIODES,969.0,1.5.1
LLAVE DE PRESION,,
MANDRIL,405.0,2.1.1
MANGO DE BISTURI BEAVER,2735.0,1.4.1
MANGO DE BISTURI REDONDO,2736.0,1.4.1
MANGOS  DE PINZA LAPAROSCOPICA CON CREMALLERA,,
MANGOS  DE PINZA LAPAROSCOPICA ROBEY CON CREMALLERA,,
MANGOS DE BISTURI CORTO Nº3,2738.0,1.4.1
MANGOS DE BISTURI CORTO Nº4,2739.0,1.4.1
MANGOS DE BISTURI CORTO Nº7,2740.0,1.4.1
MANGOS DE BISTURI LARGO Nº3,2737.0,1.4.1
MANGOS DE BISTURI LARGO Nº4,2741.0,1.4.1
MANIPULADOR UTERINO,2742.0,2.2.1
MARTILLO,2744.0,3.1.1
MARTILLO GRANDE,,3.1.1
MINI DESPEREOTIZADOR,,3.1.1
