Insumo,codigo,ubicación,PACIFICA SALUD,Column5
"Algodón 4""",147386,,,
"Algodón 6""",147387,,,
"Algodón 8""",?,,,
Bolsas de Orina,?,,,
Calceta de Brazo,?,,,
Calceta de Pierna,?,,,
Envase de Patología,?,,,
Gasa 2X2 ,287292,,,
Gasa 4X4 paq 5,285278,,,
Gasa 4X8,280640,,,
Gasa 4X8 RX,177411,,,
Jeringuilla de succión AMEU,163620,,,
Kirschner 0.45,,,,
Kirschner 0.62,,,,
"Venda Covan 2""",147439,,,
"Venda Covan 4""",147441,,,
"Venda Covan 6""",?,,,
"Venda Kling 2""",147451,,,
"Venda Kling 4""",?,,,
"Venda Kling 6""",147453,,,
"Venda Smarsh 4""",254685,,,
"Venda Smarsh 6""",254686,,,
