Lente,codigo,ubicación,proveedor externo
BANDEJA P/ARTROSCOPIA DE CADERA + LENTE DE 70° - 50° + INSTRUMENTAL AGUJA Y GUIA DE LITIN,1139,,CENTRO ORTOPEDICO ESPECIALIZADO HB
BANDEJA DE PINZAS PARA PEQUEÑAS ARTICULACIONES Y LENTE 2.7MM,1172,,ORTOSISTEMAS
 	LENTE,2235,,ORTOSISTEMAS
LENTE PARA ARTROSCOPIA,2016,,ORTOSISTEMAS
LENTE DE PEQUEÑAS ARTICULACIONES,283765,,ORTOSISTEMAS
LENTE P/ ARTROSCOPIA DE MUNECA 2.5MM,1871,,PALMSA
LENTE P/ARTROSCOPIA DE 4.0MM,2487,,PALMSA
LENTE P/ARTROSCOPIA DE 1.9MM,1009,,PALMSA
 	LENTE DE 4.0MM Y 70ª GRADOS,2277,,PALMSA
LENTE DE 70ª GRADOS PARA ARTROSCOPIA,2009,,PTY / S.D
LENTE DE 70º,2238,,PTY
LENTE DE ARTROSCOPIA,306,,PTY
 	LENTE DE ARTROSCOPIA CON CAMISA Y OBTURADOR,2457,,INVERSORA MMP
LENTE DE OTORRINOLARINGOLOGIA,2458,,INVERSORA MMP
"LENTES ENDOSCÓPICOS CON OPCIÓN DE FLUORESCENCIA DE 4 MM, 18 CM, DE 0 Y 30 GRADOS, MARCA KARL STORZ",2311,,PROMOCION MEDICA
 	LENTES ENDOSCÓPICOS DE 0 Y 30 GRADOS,2480,,LEVELMED
 	BANDEJA DE LENTE ESPECIAL ENDOSCOPICO,283757,,"FINANZAS MEDICAS, S.A."
