HOSPITAL PACIFICA SALUD PUNTA PACIFICA ,Column3,Column4
Lente de 10 mm  0° storz,2791.0,3.4.5
Lente de 10 mm  0º covidien,2792.0,3.4.5
Lente de 10 mm  0°   covidien 4K,2793.0,3.4.5
Lente de 10 mm  30º,2795.0,3.4.5
Lente de 10 mm  30º covidien,2796.0,3.4.5
Lente de 10 mm  30° Extra Largo,2797.0,3.4.5
Lente de 10 mm  30° covidien 4K,2798.0,3.4.5
Lente de 10 mm  30° Visionsense,2799.0,3.4.5
Lente de 10 mm  45° de 43 cm Storz,2801.0,3.4.5
Lente de 5 mm 0° storz ,2802.0,3.4.4
Lente de 5 mm 0º covidien ,2803.0,3.4.4
Lente de 5 mm  0° 54cm Broncoscopio,2804.0,3.4.4
Lente de 5 mm  0° 50cm Broncoscopio,2805.0,3.4.4
Lente de 5 mm  30° covidien 4K,2806.0,3.4.4
Lente de 5 mm  30° storz,2807.0,3.4.4
Lente de 5 mm  30° covidien,2808.0,3.4.4
Lente de 5 mm  30° extralargo 50cm,2809.0,3.4.4
Lente de 5 mm  30° extralargo ,2810.0,3.4.4
Lente de 5 mm 30° Visionsense,2811.0,3.4.4
Lente de 4 mm 0º largo,2812.0,3.4.3
Lente de 4 mm  0º corto,2813.0,3.4.3
Lente de 4 mm  0° 54cm,2814.0,3.4.3
Lente de 4 mm  30º largo,2815.0,3.4.3
Lente de 4 mm 30º corto STORZ,307.0,3.4.3
Lente de 4 mm 30º Artroscopia Bioart,2816.0,3.4.3
Lente de 4 mm 70º largo,2817.0,3.4.3
Lente de 4 mm 70º corto STORZ,2818.0,3.4.3
"Lente de 2,9 mm 30º bettochi ",2819.0,3.4.3
"Lente de 2,9 mm 12º histeroscopia   ",2820.0,3.4.3
"Lente de 2,7mm 30º Artroscopia",2821.0,3.4.2
Lente de 2.7mm 70º corto pediatrico,2822.0,3.4.2
Citoscopio Flexible  ,216.0,2.1.2
Ureteroscopio Flexible ,397.0,2.1.2
Ureteroscopio Flexible Digital,1717.0,2.1.2
"Ureterorenoscopio Rigido de 9,5 adulto",396.0,2.1.2
Ureterorenoscopio Rigido de 8 adulto,2823.0,2.1.2
Ureterorenoscopio semi Rigido de 8 wolf ,2824.0,2.1.2
"CistoUreteroscopio Pediatrico de 9,5º ",214.0,2.1.2
CistoUreteroscopio Pediatrico de 8º ,2825.0,2.1.2
Lente y Camara de 10 mm  0º STORZ Rubina H,2055.0,3.4.5
Lente y Camara de 10 mm 30º STORZ Rubina H,2826.0,3.4.5
Lente y Camara de 10 mm  0º STORZ H,2794.0,3.4.5
Lente y Camara de 10 mm  30º STORZ H,2800.0,3.4.5
Lente de nefroscopio percutáneo,,
Lente de mini nefroscopio percutáneo,,
