DESCRIPCION,CODIGO DE COBRO,UBICACIÓN
MANUBRIOS,2743,"1,1,1,"
BANDEJA PLANA,1232,"1,2,1"
PLATON,2835,"1,1,4"
LAPAM,2730,"1,2,1"
LAP DE ROPA PERINEAL,2836,
LAP DE ROPA DE CIRUGIA,2837,
SET DE BEBE,2838,"1,3,1"
LAPA REGULAR,2839,"1,3,1"
LAPA PERINEAL,2840,"1,3,1"
LAPA DE OJO,2841,"1,3,2"
PIERNERAS,2842,"1,3,3"
COBERTOR MAYO,2843,"1,3,2"
CUBREMESA,2844,"1,3,3"
DELANTAL,2845,"1,3,2"
TOALLITA,2846,"1,3,2"
LAPA SAFENA,2847,"1,3,3"
JARRA DE MEDIR,2729,"1,1,1"
POCILLO,2753,"1,1,1"
RIÑONERA,403,"1,1,1"
