DESCRIPCION,CODIGO, UBICACIÓN
PINZA BIPOLAR FENESTRADA H (REF. MRASI004),11-6-295055,
COBERTOR PARA ENDOSCOPIO H (REF. MRASI0002),11-6-295057,
MODULO INTERFASE SIM H (REF. MRASI0003),11-6-295051,
PORTA AGUJA LARGO H (REF. MRASI0006),11-3-283899,
FORCEPS CADIERE H (REF. MRASI0011),11-6-295059,
PINZA BIPOLAR MARYLAND H (REF. MRASI0005),11-6-295054,
FORCEPS CADIERE CON SEGURO H (REF. MRASI0010),11-3-283901,
PORTA AGUJA EXTRA LARGO H (REF. MRASI0007),11-3-283900,
PINZA DENTADA H (REF. MRASI0016),11-6-295058,
TIJERA MONOPOLAR CURVA H (REF. MRASI0001),11-3-283897,
PINZA FENESTRADA DOBLE H (REF. MRASI0012),11-6-295060,
